id,_name,_code,sync_words
1,Hồ Chí Minh,SG,"ho chi minh,hcm"
2,Hà Nội,HN,"ha noi,hn"
3,Đà Nẵng,DDN,"da nang,dn"
4,Bình Dương,BD,binh duong
5,Đồng Nai,DNA,dong nai
6,Khánh Hòa,KH,khanh hoa
7,Hải Phòng,HP,hai phong
8,Long An,LA,long an
9,Quảng Nam,QNA,quang nam
10,Bà Rịa Vũng Tàu,VT,ba ria vung tau
11,Đắk Lắk,DDL,dak lak
12,Cần Thơ,CT,can tho
13,Bình Thuận  ,BTH,binh thuan  
14,Lâm Đồng,LDD,lam dong
15,Thừa Thiên Huế,TTH,thua thien hue
16,Kiên Giang,KG,kien giang
17,Bắc Ninh,BN,bac ninh
18,Quảng Ninh,QNI,quang ninh
19,Thanh Hóa,TH,thanh hoa
20,Nghệ An,NA,nghe an
21,Hải Dương,HD,hai duong
22,Gia Lai,GL,"gia lai,gialai"
23,Bình Phước,BP,binh phuoc
24,Hưng Yên,HY,hung yen
25,Bình Định,BDD,binh dinh
26,Tiền Giang,TG,tien giang
27,Thái Bình,TB,thai binh
28,Bắc Giang,BG,bac giang
29,Hòa Bình,HB,hoa binh
30,An Giang,AG,an giang
31,Vĩnh Phúc,VP,vinh phuc
32,Tây Ninh,TNI,tay ninh
33,Thái Nguyên,TN,thai nguyen
34,Lào Cai,LCA,lao cai
35,Nam Định,NDD,nam dinh
36,Quảng Ngãi,QNG,quang ngai
37,Bến Tre,BTR,ben tre
38,Đắk Nông,DNO,dak nong
39,Cà Mau,CM,ca mau
40,Vĩnh Long,VL,vinh long
41,Ninh Bình,NB,ninh binh
42,Phú Thọ,PT,phu tho
43,Ninh Thuận,NT,ninh thuan
44,Phú Yên,PY,phu yen
45,Hà Nam,HNA,ha nam
46,Hà Tĩnh,HT,ha tinh
47,Đồng Tháp,DDT,dong thap
48,Sóc Trăng,ST,soc trang
49,Kon Tum,KT,kon tum
50,Quảng Bình,QB,quang binh
51,Quảng Trị,QT,quang tri
52,Trà Vinh,TV,tra vinh
53,Hậu Giang,HGI,hau giang
54,Sơn La,SL,son la
55,Bạc Liêu,BL,bac lieu
56,Yên Bái,YB,yen bai
57,Tuyên Quang,TQ,tuyen quang
58,Điện Biên,DDB,dien bien
59,Lai Châu,LCH,lai chau
60,Lạng Sơn,LS,lang son
61,Hà Giang,HG,ha giang
62,Bắc Kạn,BK,bac kan
63,Cao Bằng,CB,cao bang
